                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.98471,                0.50012,                 1.0732,                 0.9861,                0.87435,                0.92048,                0.68749,                0.99804,                0.39553,                  1.165,               0.000416,               0.000416,               0.000416
                     82,                0.98206,                0.50464,                  1.072,                0.97935,                0.87653,                0.91839,                0.67817,                0.99297,                0.39741,                 1.1548,              0.0003962,              0.0003962,              0.0003962
                     83,                0.99522,                 0.5174,                 1.0732,                0.97656,                0.87577,                0.92036,                0.69167,                0.97988,                0.39247,                 1.1463,              0.0003764,              0.0003764,              0.0003764
                     84,                0.95479,                0.49365,                 1.0524,                0.97825,                 0.8775,                0.92075,                0.68742,                0.99317,                0.39447,                  1.159,              0.0003566,              0.0003566,              0.0003566
                     85,                0.97639,                0.49405,                 1.0628,                0.97931,                0.87269,                0.92115,                0.69023,                0.99199,                0.39191,                 1.1574,              0.0003368,              0.0003368,              0.0003368
                     86,                0.97554,                0.48267,                 1.0536,                0.98199,                0.86961,                0.92327,                0.69415,                0.98355,                 0.3878,                 1.1596,               0.000317,               0.000317,               0.000317
                     87,                0.96513,                0.48129,                 1.0605,                0.97368,                0.87988,                0.92127,                0.69243,                0.98157,                0.39256,                 1.1522,              0.0002972,              0.0002972,              0.0002972
                     88,                0.97175,                0.48827,                 1.0627,                0.98385,                0.87564,                0.92204,                0.68641,                0.99123,                0.39326,                 1.1614,              0.0002774,              0.0002774,              0.0002774
                     89,                0.94527,                0.47686,                 1.0536,                0.97284,                0.88269,                0.92379,                0.68939,                0.99151,                0.39394,                 1.1588,              0.0002576,              0.0002576,              0.0002576
                     90,                0.96397,                0.47876,                 1.0647,                0.97933,                0.87555,                0.92305,                0.69491,                0.98601,                0.38547,                 1.1536,              0.0002378,              0.0002378,              0.0002378
                     91,                0.93508,                 0.4376,                 1.0685,                  0.979,                0.87782,                0.92084,                0.68582,                 1.0009,                0.39479,                 1.1649,               0.000218,               0.000218,               0.000218
                     92,                 0.9157,                0.43171,                 1.0569,                0.98047,                0.87611,                0.92242,                0.69354,                0.99413,                0.39199,                 1.1618,              0.0001982,              0.0001982,              0.0001982
                     93,                0.91274,                0.42908,                 1.0484,                 0.9793,                0.87434,                0.92117,                0.68863,                0.99805,                0.39021,                 1.1584,              0.0001784,              0.0001784,              0.0001784
                     94,                0.92875,                0.43319,                 1.0547,                0.97813,                0.87577,                0.92255,                0.69276,                0.97978,                0.38475,                 1.1493,              0.0001586,              0.0001586,              0.0001586
                     95,                0.92984,                0.44573,                 1.0555,                0.97376,                0.87644,                0.92413,                0.69426,                0.99233,                0.38265,                 1.1609,              0.0001388,              0.0001388,              0.0001388
                     96,                0.91511,                0.42254,                  1.044,                0.97892,                0.87166,                0.92266,                0.68657,                 1.0109,                0.38444,                  1.172,               0.000119,               0.000119,               0.000119
                     97,                0.89664,                0.41158,                 1.0439,                0.97593,                0.87409,                0.92418,                0.69458,                0.98792,                0.38277,                 1.1559,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.89627,                0.41735,                 1.0418,                 0.9771,                0.87621,                0.92479,                 0.6942,                 0.9949,                 0.3831,                  1.159,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.89534,                0.41908,                 1.0423,                0.97144,                0.88193,                0.92439,                0.69488,                0.99188,                0.38105,                 1.1573,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.87907,                0.41222,                 1.0279,                0.97376,                 0.8809,                0.92476,                0.69399,                0.98995,                0.37965,                 1.1571,               3.98e-05,               3.98e-05,               3.98e-05
